"x1	x2	x3	x4	x5	f3"
"0,0313	0,0781	0,7031	994,8506	1	0,3194"
"0,0313	0,0781	1,3281	994,8506	1	0,4029"
"0,0313	0,0781	1,9531	994,8506	1	0,4344"
"0,0313	0,0781	2,5781	994,8506	1	0,456"
"0,0203	0,0781	1,5625	994,8506	1	0,32"
"0,0234	0,0781	1,5625	994,8506	1	0,3493"
"0,0266	0,0781	1,5625	994,8506	1	0,38"
"0,0313	0,0781	1,5625	994,8506	1	0,4143"
"0,0203	0,0633	1,2658	994,8506	1	0,2793"
"0,025	0,125	1,5625	994,8506	1	0,42"
"0,0165	0,0825	1,0309	994,8506	1	0,2421"
"0,0203	0,1392	1,2658	994,8506	1	0,365"
"0,0233	0,0667	1	1135,9295	1	0,3266"
"0,0117	0,1667	1	1135,9295	0,2679	0,2062"
"0,0058	0,1667	1	1135,9295	1	0,1254"
"0,0039	0,1667	1	1135,9295	1	0,1262"
"0,0179	0,2857	1	1135,9295	0,2679	0,4528"
"0,0023	0,1963	1	1135,9295	0,2679	0,107"
"0,0217	0,1667	1	945,0581	1	0,4124"
"0,0143	0,1429	0,7143	2223,0664	0,1989	0,4686"
"0,0143	0,1429	1,4286	2223,0664	0,1989	0,5106"
"0,0143	0,1429	2,1429	2223,0664	0,1989	0,6314"
"0,0214	0,1429	1,0714	2223,0664	0,1989	0,6299"
"0,0214	0,1429	1,7857	2223,0664	0,1989	0,6609"
"0,0286	0,1429	0,7143	2223,0664	0,1989	0,7714"
"0,0286	0,1429	1,4286	2223,0664	0,1989	0,7874"
"0,0286	0,1429	2,1429	2223,0664	0,1989	0,9192"
"0,0357	0,1429	1,0714	2223,0664	0,1989	0,8532"
"0,0357	0,1429	1,7857	2223,0664	0,1989	0,9139"
"0,0143	0,0179	0,3571	2223,0664	0,1989	0,1354"
"0,0143	0,0536	0,3571	2223,0664	0,1989	0,2758"
"0,0143	0,1429	0,3571	2223,0664	0,1989	0,4768"
"0,0286	0,0357	0,3571	2223,0664	0,1989	0,2677"
"0,0286	0,0714	0,3571	2223,0664	0,1989	0,4909"
"0,05	0,0179	0,3571	2223,0664	0,1989	0,2748"
"0,05	0,0536	0,3571	2223,0664	0,1989	0,5142"
"0,05	0,1429	0,3571	2223,0664	0,1989	0,9455"
"0,0113	0,1283	1,2083	1330,7308	0,2679	0,3107"
"0,0113	0,1283	1,2083	1305,6038	0,2679	0,2801"
"0,0113	0,1283	1,2083	1330,7308	0,2679	0,3024"
"0,0113	0,1283	1,2083	1330,7308	0,2679	0,2894"
"0,0113	0,1175	1,2083	1343,6602	0,2679	0,2999"
"0,0113	0,0883	1,2083	1330,7308	0,2679	0,2626"
"0,0113	0,1283	1,4167	1305,6038	0,2679	0,294"
"0,0113	0,1283	1,5417	1330,7308	0,2679	0,3"
"0,0096	0,1283	1,4167	994,2381	0,2679	0,2487"
"0,0117	0,1283	1,2083	881,8571	0,2679	0,2605"
"0,006	0,0684	0,5556	1318,0476	0,2679	0,0899"
"0,006	0,0684	0,6444	1318,0476	0,2679	0,0843"
"0,006	0,0684	0,6444	1318,0476	0,2679	0,0835"
"0,006	0,0684	0,6444	1318,0476	0,2679	0,0872"
"0,006	0,0549	0,6444	1318,0476	0,2679	0,0818"
"0,006	0,0684	0,6444	1162,8655	0,2679	0,086"
"0,0038	0,0837	1,3407	845,473	1	0,0879"
"0,0038	0,1012	0,6703	845,473	1	0,0636"
"0,0038	0,1012	1,3407	845,473	1	0,1022"
"0,0038	0,1012	2,011	845,473	1	0,1035"
"0,0038	0,1116	1,5055	845,473	1	0,1061"
"0,0038	0,1256	0,7802	845,473	1	0,0938"
"0,0038	0,1256	1,3407	845,473	1	0,0941"
"0,0052	0,1012	1	1064,5602	1	0,1231"
"0,0074	0,1012	0,6703	1033,8548	1	0,1851"
"0,0179	0,1667	1,9882	2404,9322	1	0,5745"
"0,0179	0,125	2,1588	2404,9322	1	0,5592"
"0,0319	0,1667	1,378	2420,1864	1	1,1731"
"0,0319	0,25	1,2205	2420,1864	1	1,236"
"0,0095	0,125	3,0066	1442,9834	0,2679	0,1771"
"0,0072	0,125	2,6053	2455,4315	0,2679	0,2082"
"0,0193	0,125	2,6053	978,2531	0,2679	0,5276"
"0,0141	0,125	3,0066	978,2531	0,2679	0,1938"
"0,0141	0,125	3,0066	870,3693	0,2679	0,1537"
"0,0193	0,125	3,0066	870,3693	1	0,2239"
"0,0193	0,125	3,0066	870,3693	0,2679	0,2072"
"0,0193	0,125	2,0066	870,3693	0,2679	0,2413"
"0,0193	0,125	2,0066	870,3693	0,2679	0,2413"
"0,0193	0,1671	3,0066	870,3693	0,2679	0,2005"
"0,01	0,1301	3,0993	870,3693	0,2679	0,1425"
"0,0106	0,125	3,0066	870,3693	0,2679	0,127"
"0,023	0,125	3,0066	1028,0456	0,2679	0,2706"
"0,023	0,125	2,0066	1028,0456	0,2679	0,3108"
"0,023	0,1671	3,0066	1028,0456	0,2679	0,2807"
"0,012	0,1301	3,0993	1028,0456	0,2679	0,1638"
"0,0313	0,0781	1,0156	994,8506	1	0,381"
"0,0313	0,0781	1,6406	994,8506	1	0,4043"
"0,0313	0,0781	2,2656	994,8506	1	0,4627"
"0,0188	0,0781	1,5625	994,8506	1	0,3064"
"0,0219	0,0781	1,5625	994,8506	1	0,33"
"0,025	0,0781	1,5625	994,8506	1	0,3593"
"0,0281	0,0781	1,5625	994,8506	1	0,3986"
"0,025	0,0781	1,5625	994,8506	1	0,3407"
"0,0165	0,0515	1,0309	994,8506	1	0,2136"
"0,0203	0,1013	1,2658	994,8506	1	0,3329"
"0,025	0,1719	1,5625	994,8506	1	0,47"
"0,0165	0,1134	1,0309	994,8506	1	0,2643"
"0,0233	0,0667	2	1135,9295	1	0,3052"
"0,0117	0,1667	2	1135,9295	0,2679	0,1983"
"0,0058	0,1667	2	1135,9295	1	0,1299"
"0,0039	0,1667	2	1135,9295	1	0,128"
"0,0083	0,1667	1	1135,9295	0,2679	0,165"
"0,0433	0,1667	1	945,0581	1	0,7057"
"0,0108	0,1667	1	945,0581	0,2679	0,2624"
"0,0143	0,1429	1,0714	2223,0664	0,1989	0,5021"
"0,0143	0,1429	1,7857	2223,0664	0,1989	0,5435"
"0,0214	0,1429	0,7143	2223,0664	0,1989	0,6057"
"0,0214	0,1429	1,4286	2223,0664	0,1989	0,642"
"0,0214	0,1429	2,1429	2223,0664	0,1989	0,7782"
"0,0286	0,1429	1,0714	2223,0664	0,1989	0,7337"
"0,0286	0,1429	1,7857	2223,0664	0,1989	0,7906"
"0,0357	0,1429	0,7143	2223,0664	0,1989	0,7714"
"0,0357	0,1429	1,4286	2223,0664	0,1989	0,8839"
"0,0357	0,1429	2,1429	2223,0664	0,1989	1,0038"
"0,0143	0,0357	0,3571	2223,0664	0,1989	0,196"
"0,0143	0,0714	0,3571	2223,0664	0,1989	0,3313"
"0,0286	0,0179	0,3571	2223,0664	0,1989	0,203"
"0,0286	0,0536	0,3571	2223,0664	0,1989	0,3828"
"0,0286	0,1429	0,3571	2223,0664	0,1989	0,7031"
"0,05	0,0357	0,3571	2223,0664	0,1989	0,4222"
"0,05	0,0714	0,3571	2223,0664	0,1989	0,6152"
"0,0113	0,1283	1,2083	1305,6038	0,2679	0,3184"
