x1	x2	x3	x4	        x5	Ums
0.0313	0.0781	0.7031	994.8506	1.0000	0.3000
0.0313	0.0781	1.3281	994.8506	1.0000	0.5200
0.0313	0.0781	1.9531	994.8506	1.0000	0.6800
0.0313	0.0781	2.5781	994.8506	1.0000	0.8200
0.0203	0.0781	1.5625	994.8506	1.0000	0.4480
0.0234	0.0781	1.5625	994.8506	1.0000	0.4890
0.0266	0.0781	1.5625	994.8506	1.0000	0.5320
0.0313	0.0781	1.5625	994.8506	1.0000	0.5800
0.0203	0.0633	1.2658	994.8506	1.0000	0.3910
0.0250	0.1250	1.5625	994.8506	1.0000	0.5880
0.0165	0.0825	1.0309	994.8506	1.0000	0.3390
0.0203	0.1392	1.2658	994.8506	1.0000	0.5110
0.0233	0.0667	1.0000	1135.9295	1.0000	0.5600
0.0117	0.1667	1.0000	1135.9295	0.2679	0.5000
0.0058	0.1667	1.0000	1135.9295	1.0000	0.4300
0.0039	0.1667	1.0000	1135.9295	1.0000	0.5300
0.0179	0.2857	1.0000	1135.9295	0.2679	0.7500
0.0023	0.1963	1.0000	1135.9295	0.2679	0.4900
0.0217	0.1667	1.0000	945.0581	1.0000	1.0000
0.0143	0.1429	0.7143	2223.0664	0.1989	0.6560
0.0143	0.1429	1.4286	2223.0664	0.1989	1.0110
0.0143	0.1429	2.1429	2223.0664	0.1989	1.5310
0.0214	0.1429	1.0714	2223.0664	0.1989	1.0800
0.0214	0.1429	1.7857	2223.0664	0.1989	1.4630
0.0286	0.1429	0.7143	2223.0664	0.1989	1.0800
0.0286	0.1429	1.4286	2223.0664	0.1989	1.5590
0.0286	0.1429	2.1429	2223.0664	0.1989	2.2290
0.0357	0.1429	1.0714	2223.0664	0.1989	1.4630
0.0357	0.1429	1.7857	2223.0664	0.1989	2.0230
0.0143	0.0179	0.3571	2223.0664	0.1989	0.1340
0.0143	0.0536	0.3571	2223.0664	0.1989	0.2730
0.0143	0.1429	0.3571	2223.0664	0.1989	0.4720
0.0286	0.0357	0.3571	2223.0664	0.1989	0.2650
0.0286	0.0714	0.3571	2223.0664	0.1989	0.4860
0.0500	0.0179	0.3571	2223.0664	0.1989	0.2720
0.0500	0.0536	0.3571	2223.0664	0.1989	0.5090
0.0500	0.1429	0.3571	2223.0664	0.1989	0.9360
0.0113	0.1283	1.2083	1330.7308	0.2679	0.7407
0.0113	0.1283	1.2083	1305.6038	0.2679	0.6677
0.0113	0.1283	1.2083	1330.7308	0.2679	0.7210
0.0113	0.1283	1.2083	1330.7308	0.2679	0.6900
0.0113	0.1175	1.2083	1343.6602	0.2679	0.7150
0.0113	0.0883	1.2083	1330.7308	0.2679	0.6260
0.0113	0.1283	1.4167	1305.6038	0.2679	0.7590
0.0113	0.1283	1.5417	1330.7308	0.2679	0.8080
0.0096	0.1283	1.4167	994.2381	0.2679	0.6420
0.0117	0.1283	1.2083	881.8571	0.2679	0.6210
0.0060	0.0684	0.5556	1318.0476	0.2679	0.1990
0.0060	0.0684	0.6444	1318.0476	0.2679	0.2010
0.0060	0.0684	0.6444	1318.0476	0.2679	0.1990
0.0060	0.0684	0.6444	1318.0476	0.2679	0.2080
0.0060	0.0549	0.6444	1318.0476	0.2679	0.1950
0.0060	0.0684	0.6444	1162.8655	0.2679	0.2050
0.0038	0.0837	1.3407	845.4730	1.0000	0.4300
0.0038	0.1012	0.6703	845.4730	1.0000	0.2200
0.0038	0.1012	1.3407	845.4730	1.0000	0.5000
0.0038	0.1012	2.0110	845.4730	1.0000	0.6200
0.0038	0.1116	1.5055	845.4730	1.0000	0.5500
0.0038	0.1256	0.7802	845.4730	1.0000	0.3500
0.0038	0.1256	1.3407	845.4730	1.0000	0.4600
0.0052	0.1012	1.0000	1064.5602	1.0000	0.5200
0.0074	0.1012	0.6703	1033.8548	1.0000	0.6400
0.0179	0.1667	1.9882	2404.9322	1.0000	1.4000
0.0179	0.1250	2.1588	2404.9322	1.0000	1.4200
0.0319	0.1667	1.3780	2420.1864	1.0000	2.3800
0.0319	0.2500	1.2205	2420.1864	1.0000	2.3600
0.0095	0.1250	3.0066	1442.9834	0.2679	0.5300
0.0072	0.1250	2.6053	2455.4315	0.2679	0.5800
0.0193	0.1250	2.6053	978.2531	0.2679	1.4700
0.0141	0.1250	3.0066	978.2531	0.2679	0.5800
0.0141	0.1250	3.0066	870.3693	0.2679	0.4600
0.0193	0.1250	3.0066	870.3693	1.0000	0.6700
0.0193	0.1250	3.0066	870.3693	0.2679	0.6200
0.0193	0.1250	2.0066	870.3693	0.2679	0.5900
0.0193	0.1250	2.0066	870.3693	0.2679	0.5900
0.0193	0.1671	3.0066	870.3693	0.2679	0.6000
0.0100	0.1301	3.0993	870.3693	0.2679	0.6000
0.0106	0.1250	3.0066	870.3693	0.2679	0.3800
0.0230	0.1250	3.0066	1028.0456	0.2679	0.8100
0.0230	0.1250	2.0066	1028.0456	0.2679	0.7600
0.0230	0.1671	3.0066	1028.0456	0.2679	0.8400
0.0120	0.1301	3.0993	1028.0456	0.2679	0.6900
