x1	x2	x3	x4	        x5	Ums
0,0313	0,0781	1,0156	994,8506	1,0000	0,4300
0,0313	0,0781	1,6406	994,8506	1,0000	0,5800
0,0313	0,0781	2,2656	994,8506	1,0000	0,7800
0,0188	0,0781	1,5625	994,8506	1,0000	0,4290
0,0219	0,0781	1,5625	994,8506	1,0000	0,4620
0,0250	0,0781	1,5625	994,8506	1,0000	0,5030
0,0281	0,0781	1,5625	994,8506	1,0000	0,5580
0,0250	0,0781	1,5625	994,8506	1,0000	0,4770
0,0165	0,0515	1,0309	994,8506	1,0000	0,2990
0,0203	0,1013	1,2658	994,8506	1,0000	0,4660
0,0250	0,1719	1,5625	994,8506	1,0000	0,6580
0,0165	0,1134	1,0309	994,8506	1,0000	0,3700
0,0233	0,0667	2,0000	1135,9295	1,0000	0,7400
0,0117	0,1667	2,0000	1135,9295	0,2679	0,6800
0,0058	0,1667	2,0000	1135,9295	1,0000	0,6300
0,0039	0,1667	2,0000	1135,9295	1,0000	0,7600
0,0083	0,1667	1,0000	1135,9295	0,2679	0,4000
0,0433	0,1667	1,0000	945,0581	1,0000	1,2100
0,0108	0,1667	1,0000	945,0581	0,2679	0,9000
0,0143	0,1429	1,0714	2223,0664	0,1989	0,8610
0,0143	0,1429	1,7857	2223,0664	0,1989	1,2030
0,0214	0,1429	0,7143	2223,0664	0,1989	0,8480
0,0214	0,1429	1,4286	2223,0664	0,1989	1,2710
0,0214	0,1429	2,1429	2223,0664	0,1989	1,8870
0,0286	0,1429	1,0714	2223,0664	0,1989	1,2580
0,0286	0,1429	1,7857	2223,0664	0,1989	1,7500
0,0357	0,1429	0,7143	2223,0664	0,1989	1,0800
0,0357	0,1429	1,4286	2223,0664	0,1989	1,7500
0,0357	0,1429	2,1429	2223,0664	0,1989	2,4340
0,0143	0,0357	0,3571	2223,0664	0,1989	0,1940
0,0143	0,0714	0,3571	2223,0664	0,1989	0,3280
0,0286	0,0179	0,3571	2223,0664	0,1989	0,2010
0,0286	0,0536	0,3571	2223,0664	0,1989	0,3790
0,0286	0,1429	0,3571	2223,0664	0,1989	0,6960
0,0500	0,0357	0,3571	2223,0664	0,1989	0,4180
0,0500	0,0714	0,3571	2223,0664	0,1989	0,6090
0,0113	0,1283	1,2083	1305,6038	0,2679	0,7590
0,0113	0,1283	1,2083	1318,0476	0,2679	0,6420
0,0113	0,1283	1,2083	1330,7308	0,2679	0,7260
0,0113	0,1283	1,2083	1330,7308	0,2679	0,7090
0,0113	0,1463	1,2083	1330,7308	0,2679	0,7450
0,0113	0,1029	1,2083	1343,6602	0,2679	0,6860
0,0113	0,1283	1,2083	1153,1667	0,2679	0,6450
0,0113	0,1283	1,5417	1318,0476	0,2679	0,7630
0,0096	0,1283	2,2083	994,2381	0,2679	0,7670
0,0117	0,1283	1,5000	899,0000	0,2679	0,7150
0,0062	0,0684	0,6667	873,5283	0,2679	0,1885
0,0060	0,0684	0,6889	1318,0476	0,2679	0,2260
0,0060	0,0684	0,6444	1318,0476	0,2679	0,2130
0,0060	0,0684	0,6444	1318,0476	0,2679	0,2170
0,0060	0,0627	0,6444	1318,0476	0,2679	0,2080
0,0060	0,0780	0,6444	1318,0476	0,2679	0,2260
0,0038	0,0837	1,0000	845,4730	1,0000	0,2800
0,0038	0,0837	1,6703	845,4730	1,0000	0,5400
0,0038	0,1012	1,0000	845,4730	1,0000	0,3700
0,0038	0,1012	1,6703	845,4730	1,0000	0,5700
0,0038	0,1116	1,0000	845,4730	1,0000	0,4200
0,0038	0,1116	1,6703	845,4730	1,0000	0,5800
0,0038	0,1256	1,0000	845,4730	1,0000	0,4200
0,0052	0,1012	0,6703	1064,5602	1,0000	0,4000
0,0052	0,1116	1,0000	1064,5602	1,0000	0,6000
0,0074	0,1256	0,5824	1033,8548	1,0000	0,6300
0,0179	0,1667	0,9974	2404,9322	1,0000	1,1400
0,0179	0,1253	1,0827	2404,9322	1,0000	1,1600
0,0319	0,1667	0,6890	2420,1864	1,0000	1,7900
0,0319	0,2500	0,8530	2420,1864	1,0000	2,0900
0,0131	0,1250	3,0066	1451,2822	0,2679	0,7300
0,0193	0,1250	2,6053	2438,8340	0,2679	1,4700
0,0141	0,1250	3,0066	978,2531	1,0000	0,4900
0,0141	0,1250	3,0066	978,2531	0,2679	0,5800
0,0193	0,1250	5,9342	870,3693	0,2679	0,8400
0,0193	0,1250	3,0066	870,3693	0,2679	0,6200
0,0193	0,1250	3,0066	870,3693	0,2679	0,6200
0,0193	0,1250	2,0066	870,3693	0,2679	0,5900
0,0193	0,0829	3,0066	870,3693	0,2679	0,6200
0,0122	0,1178	3,0000	870,3693	0,2679	0,6200
0,0100	0,0870	3,0993	870,3693	0,2679	0,5200
0,0230	0,1250	4,1776	1028,0456	0,2679	0,9900
0,0230	0,1250	3,0066	1028,0456	0,2679	0,8100
0,0230	0,1250	1,0000	1028,0456	0,2679	0,5900
0,0145	0,1178	3,0000	1028,0456	0,2679	0,7500
0,0120	0,1301	1,5651	1028,0456	0,2679	0,6300
