"v:0","v:1","v:2","Points:0","Points:1","Points:2"
-0.090745,0.01177,-3.6363e-05,0.048714,0.013398,0.00078732
-0.092902,0.010652,7.669e-06,0.049224,0.012437,0.00083038
-0.091422,0.0089892,-6.7737e-06,0.049965,0.013094,0.0012843
-0.093755,0.0087153,2.7663e-06,0.050087,0.012059,0.0016004
-0.092912,0.0079386,1.1572e-06,0.050442,0.012429,0.000545
-0.090781,0.0067701,-1.2657e-06,0.050966,0.013382,0.00054513
-0.091022,0.0065483,-7.2011e-06,0.051061,0.013264,0.001623
-0.093262,0.006028,-4.9773e-06,0.051287,0.01227,0.0012127
-0.09212,0.0045071,-5.0705e-06,0.051973,0.012788,0.00054548
-0.092226,0.0034256,6.0437e-05,0.052463,0.012734,0.0015837
-0.087115,0.016403,-8.2432e-06,0.046671,0.015035,0.00054541
-0.090285,0.014036,1.518e-05,0.047698,0.013596,0.001597
-0.088479,0.014094,1.0551e-05,0.047683,0.014405,0.00065719
-0.088483,0.012368,1.8249e-05,0.048444,0.01439,0.0015838
-0.088356,0.011668,-3.4995e-06,0.048765,0.014459,0.00054525
-0.088116,0.010028,-2.4634e-06,0.0495,0.014561,0.0013426
-0.089746,0.0096265,1.0178e-06,0.049679,0.013841,0.00054522
-0.087481,0.0085148,-6.7414e-06,0.050182,0.014852,0.00054553
-0.088534,0.0065155,2.0858e-05,0.051079,0.014385,0.0009526
-0.087082,0.004296,2.7177e-07,0.052061,0.015008,0.0016298
-0.08968,0.0045591,-3.8485e-06,0.051951,0.013876,0.00054523
-0.087265,0.004161,-5.6618e-07,0.052128,0.01495,0.00054517
-0.083535,0.021753,3.4183e-07,0.044314,0.016664,0.0014845
-0.08551,0.02028,-8.2824e-05,0.04496,0.015805,0.00063072
-0.083064,0.019058,-8.9154e-06,0.04547,0.016848,0.00054547
-0.086057,0.01757,-1.0595e-05,0.046148,0.01551,0.0015412
-0.085098,0.017731,-4.7457e-06,0.046073,0.015942,0.00054502
-0.086537,0.014824,-1.0664e-05,0.047365,0.015282,0.0013465
-0.084403,0.015766,-4.0868e-06,0.046948,0.016241,0.0016495
-0.084923,0.015075,-2.5015e-05,0.047242,0.01601,0.00054585
-0.086298,0.013008,-1.1855e-05,0.048167,0.015373,0.00054578
-0.086077,0.012485,1.2865e-05,0.048402,0.015477,0.0016149
-0.084306,0.011932,7.515e-06,0.048652,0.016275,0.0009161
-0.086187,0.010596,6.3981e-06,0.049255,0.015432,0.00054535
-0.085791,0.0094116,-4.1199e-06,0.049782,0.015601,0.001483
-0.08501,0.0084588,1.124e-05,0.050212,0.015951,0.00054546
